Benjamín Garré, Extremo derecho, 24, Argentina, Clube de Regatas Vasco da Gama
Adson, Extremo derecho, 24, Brasil, Clube de Regatas Vasco da Gama
Loide Augusto, Extremo derecho, 25, Angola, Clube de Regatas Vasco da Gama
Alex Teixeira, Mediapunta, 35, Brasil, Clube de Regatas Vasco da Gama
Rayan, Delantero centro, 18, Brasil, Clube de Regatas Vasco da Gama
Pablo Vegetti, Delantero centro, 36, Argentina, Clube de Regatas Vasco da Gama
Gabriel Brazão, Portero, 24, Brasil, Santos FC
João Paulo, Portero, 29, Brasil, Santos FC
Diógenes, Portero, 24, Brasil, Santos FC
Zé Ivaldo, Defensa central, 28, Brasil, Santos FC
Basso, Defensa central, 28, Brasil, Santos FC
Luan Peres, Defensa central, 30, Brasil, Santos FC
Luisão, Defensa central, 21, Brasil, Santos FC
Gil, Defensa central, 37, Brasil, Santos FC
Souza, Lateral izquierdo, 18, Brasil, Santos FC
Kevyson, Lateral izquierdo, 21, Brasil, Santos FC
Vinicius Lira, Lateral izquierdo, 17, Brasil, Santos FC
Gonzalo Escobar, Lateral izquierdo, 28, Argentina, Santos FC
JP Chermont, Lateral derecho, 19, Brasil, Santos FC
Leonardo Godoy, Lateral derecho, 30, Argentina, Santos FC
Aderlan, Lateral derecho, 34, Brasil, Santos FC
João Schmidt, Pivote, 32, Brasil, Santos FC
Tomás Rincón, Pivote, 37, Venezuela, Santos FC
Zé Rafael, Mediocentro, 31, Brasil, Santos FC
Gabriel Bontempo, Mediocentro, 20, Brasil, Santos FC
Diego Pituca, Mediocentro, 32, Brasil, Santos FC
Hyan, Mediocentro, 21, Brasil, Santos FC
Neymar, Mediocentro ofensivo, 33, Brasil, Santos FC
Thaciano, Mediocentro ofensivo, 30, Brasil, Santos FC
Yeferson Soteldo, Extremo izquierdo, 27, Venezuela, Santos FC
Álvaro Barreal, Extremo izquierdo, 24, Argentina, Santos FC
Guilherme, Extremo izquierdo, 30, Brasil, Santos FC
Mateus Xavier, Extremo izquierdo, 17, Brasil, Santos FC
Benjamín Rollheiser, Extremo derecho, 25, Argentina, Santos FC
Gabriel Veron, Extremo derecho, 22, Brasil, Santos FC
Deivid Washington, Delantero centro, 19, Brasil, Santos FC
Tiquinho Soares, Delantero centro, 34, Brasil, Santos FC
Luca Meirelles, Delantero centro, 18, Brasil, Santos FC
Julio Furch, Delantero centro, 35, Argentina, Santos FC
Cleiton, Portero, 27, Brasil, Red Bull Bragantino
Lucão, Portero, 24, Brasil, Red Bull Bragantino
Fabrício, Portero, 24, Brasil, Red Bull Bragantino
Pedro Henrique, Defensa central, 29, Brasil, Red Bull Bragantino
Guzmán Rodríguez, Defensa central, 25, Uruguay, Red Bull Bragantino
Douglas Mendes, Defensa central, 20, Brasil, Red Bull Bragantino
Eduardo, Defensa central, 27, Brasil, Red Bull Bragantino
Juninho Capixaba, Lateral izquierdo, 27, Brasil, Red Bull Bragantino
Guilherme Lopes, Lateral izquierdo, 23, Brasil, Red Bull Bragantino
Agustín Sant'Anna, Lateral derecho, 27, Uruguay, Red Bull Bragantino
José Andrés Hurtado, Lateral derecho, 23, Ecuador, Red Bull Bragantino
Nathan Mendes, Lateral derecho, 22, Brasil, Red Bull Bragantino
Fabinho, Pivote, 23, Brasil, Red Bull Bragantino
Matheus Fernandes, Pivote, 26, Brasil, Red Bull Bragantino
Gabriel, Pivote, 32, Brasil, Red Bull Bragantino
Eric Ramires, Mediocentro, 24, Brasil, Red Bull Bragantino
Praxedes, Mediocentro, 23, Brasil, Red Bull Bragantino
Gustavo Neves, Mediocentro, 21, Brasil, Red Bull Bragantino
João Neto, Mediocentro, 22, Brasil, Red Bull Bragantino
Jhon Jhon, Mediocentro ofensivo, 22, Brasil, Red Bull Bragantino
Vitinho, Mediocentro ofensivo, 27, Brasil, Red Bull Bragantino
Vinicinho, Extremo izquierdo, 21, Brasil, Red Bull Bragantino
Henry Mosquera, Extremo izquierdo, 23, Colombia, Red Bull Bragantino
