Marcos Portillo, Mediocentro, 25, Argentina, CA Talleres
Emanuel Reynoso, Mediocentro ofensivo, 29, Argentina, CA Talleres
Rubén Botta, Mediocentro ofensivo, 35, Argentina, CA Talleres
Rick, Extremo izquierdo, 25, Brasil, CA Talleres
Valentín Depietri, Extremo izquierdo, 24, Argentina, CA Talleres
Sebastián Palacios, Extremo derecho, 33, Argentina, CA Talleres
Nahuel Bustos, Delantero centro, 26, Argentina, CA Talleres
Federico Girotti, Delantero centro, 26, Argentina, CA Talleres
Cristian Tarragona, Delantero centro, 34, Argentina, CA Talleres



Rodrigo Rey, Portero, 34, Argentina, CA Independiente
Joaquín Blázquez, Portero, 24, Argentina, CA Independiente
Manuel Tasso, Portero, 24, Argentina, CA Independiente
Kevin Lomónaco, Defensa central, 23, Argentina, CA Independiente
Nicolás Freire, Defensa central, 31, Argentina, CA Independiente
Franco Paredes, Defensa central, 26, Argentina, CA Independiente
Sebastián Valdez, Defensa central, 29, Argentina, CA Independiente
Alvaro Angulo, Lateral izquierdo, 28, Colombia, CA Independiente
Adrián Spörle, Lateral izquierdo, 29, Argentina, CA Independiente
Federico Vera, Lateral derecho, 27, Argentina, CA Independiente
Santiago Salle, Lateral derecho, 21, Argentina, CA Independiente
Rodrigo Fernández Cedrés, Pivote, 29, Uruguay, CA Independiente
David Martínez, Pivote, 21, Argentina, CA Independiente
Iván Marcone, Pivote, 35, Argentina, CA Independiente
Felipe Loyola, Mediocentro, 24, Chile, CA Independiente
Pablo Galdames, Mediocentro, 28, Chile, CA Independiente
Federico Mancuello, Mediocentro, 36, Argentina, CA Independiente
Lautaro Millán, Interior derecho, 19, Argentina, CA Independiente
Luciano Cabral, Mediocentro ofensivo, 29, Chile, CA Independiente
Diego Tarzia, Extremo izquierdo, 22, Argentina, CA Independiente
Braian Martínez, Extremo izquierdo, 25, Argentina, CA Independiente
Santiago Montiel, Extremo derecho, 24, Argentina, CA Independiente
Lucas Román, Extremo derecho, 21, Italia/Argentina, CA Independiente
