Rodrigo González, Extremo derecho, 24, Argentina, CA Mitre
Javier Martínez, Delantero centro, 26, Argentina, CA Mitre
Juan Bonet, Delantero centro, 26, Argentina, CA Mitre
Vicente Barberini, Delantero centro, 22, Argentina, CA Mitre
David Romero, Delantero centro, 38, Argentina, CA Mitre
Lautaro Petruchi, Portero, 26, Argentina, CA Gimnasia y Esgrima (Mendoza)
Felipe San Juan, Portero, 23, Argentina, CA Gimnasia y Esgrima (Mendoza)
César Rigamonti, Portero, 38, Argentina, CA Gimnasia y Esgrima (Mendoza)
Imanol González, Defensa central, 27, Argentina, CA Gimnasia y Esgrima (Mendoza)
Diego Mondino, Defensa central, 30, Argentina, CA Gimnasia y Esgrima (Mendoza)
Elías Calderón, Defensa central, 24, Argentina, CA Gimnasia y Esgrima (Mendoza)
Hugo Paniagua, Defensa central, 23, Argentina, CA Gimnasia y Esgrima (Mendoza)
Axel Poza, Defensa central, 22, Argentina, CA Gimnasia y Esgrima (Mendoza)
Franco Saavedra, Lateral izquierdo, 21, Argentina, CA Gimnasia y Esgrima (Mendoza)
Matías Recalde, Lateral izquierdo, 27, Argentina, CA Gimnasia y Esgrima (Mendoza)
Facundo Nadalín, Lateral derecho, 27, Argentina, CA Gimnasia y Esgrima (Mendoza)
Ismael Cortéz, Lateral derecho, 24, Argentina, CA Gimnasia y Esgrima (Mendoza)
Federico Torres, Lateral derecho, 26, Argentina, CA Gimnasia y Esgrima (Mendoza)
Matías Muñoz, Pivote, 29, Argentina, CA Gimnasia y Esgrima (Mendoza)
Fermín Antonini, Pivote, 27, Argentina, CA Gimnasia y Esgrima (Mendoza)
Benjamín Ortíz, Pivote, 21, Argentina, CA Gimnasia y Esgrima (Mendoza)
Ignacio Antonio, Mediocentro, 30, Argentina, CA Gimnasia y Esgrima (Mendoza)
Nahuel Barboza, Mediocentro, 25, Argentina, CA Gimnasia y Esgrima (Mendoza)
Lucas Bustos, Mediocentro, 20, Argentina, CA Gimnasia y Esgrima (Mendoza)
Enzo Gaggi, Interior derecho, 27, Argentina, CA Gimnasia y Esgrima (Mendoza)
Jeremías Puch, Mediocentro ofensivo, 26, Argentina, CA Gimnasia y Esgrima (Mendoza)
Daniel Molina, Mediocentro ofensivo, 25, Argentina, CA Gimnasia y Esgrima (Mendoza)
Héctor Herrera, Mediocentro ofensivo, 23, Argentina, CA Gimnasia y Esgrima (Mendoza)
Facundo Lencioni, Extremo izquierdo, 24, Argentina, CA Gimnasia y Esgrima (Mendoza)
Brian Andrada, Extremo izquierdo, 27, Argentina, CA Gimnasia y Esgrima (Mendoza)
Gastón Espósito, Extremo derecho, 27, Argentina, CA Gimnasia y Esgrima (Mendoza)
