Gerard Martín, Lateral izquierdo, 23, España, FC Barcelona
Jules Koundé, Lateral derecho, 26, Francia, FC Barcelona
Héctor Fort, Lateral derecho, 18, España, FC Barcelona
Marc Casadó, Pivote, 21, España, FC Barcelona
Marc Bernal, Pivote, 18, España, FC Barcelona
Pedri, Mediocentro, 22, España, FC Barcelona
Gavi, Mediocentro, 20, España, FC Barcelona
Frenkie de Jong, Mediocentro, 28, Países Bajos, FC Barcelona
Dani Olmo, Mediocentro ofensivo, 27, España, FC Barcelona
Fermín López, Mediocentro ofensivo, 22, España, FC Barcelona
Pablo Torre, Mediocentro ofensivo, 22, España, FC Barcelona
Raphinha, Extremo izquierdo, 28, Brasil, FC Barcelona
Ansu Fati, Extremo izquierdo, 22, España, FC Barcelona
Lamine Yamal, Extremo derecho, 17, España, FC Barcelona
Ferran Torres, Delantero centro, 25, España, FC Barcelona
Robert Lewandowski, Delantero centro, 36, Polonia, FC Barcelona
Pau Víctor, Delantero centro, 23, España, FC Barcelona
Álvaro Fernández, Portero, 27, España, Sevilla FC
Ørjan Nyland, Portero, 34, Noruega, Sevilla FC
Loïc Badé, Defensa central, 25, Francia, Sevilla FC
Kike Salas, Defensa central, 23, España, Sevilla FC
Marcão, Defensa central, 28, Brasil, Sevilla FC
Tanguy Nianzou, Defensa central, 22, Francia, Sevilla FC
Ramón Martínez, Defensa central, 22, España, Sevilla FC
Adrià Pedrosa, Lateral izquierdo, 27, España, Sevilla FC
José Ángel Carmona, Lateral derecho, 23, España, Sevilla FC
Juanlu Sánchez, Lateral derecho, 21, España, Sevilla FC
Lucien Agoumé, Pivote, 23, Francia, Sevilla FC
Nemanja Gudelj, Pivote, 33, Serbia, Sevilla FC
Albert Sambi Lokonga, Mediocentro, 25, Bélgica, Sevilla FC
Djibril Sow, Mediocentro, 28, Suiza, Sevilla FC
Saúl Ñíguez, Mediocentro, 30, España, Sevilla FC
Manu Bueno, Mediocentro, 20, España, Sevilla FC
Stanis Idumbo, Mediocentro ofensivo, 19, Bélgica, Sevilla FC
Rubén Vargas, Extremo izquierdo, 26, Suiza, Sevilla FC
Chidera Ejuke, Extremo izquierdo, 27, Nigeria, Sevilla FC
Dodi Lukébakio, Extremo derecho, 27, Bélgica, Sevilla FC
Suso, Extremo derecho, 31, España, Sevilla FC
Peque Fernández, Mediapunta, 22, España, Sevilla FC
Isaac Romero, Delantero centro, 25, España, Sevilla FC
Akor Adams, Delantero centro, 25, Nigeria, Sevilla FC
Kelechi Iheanacho, Delantero centro, 28, Nigeria, Sevilla FC
García Pascual, Delantero centro, 22, España, Sevilla FC
Joan García, Portero, 24, España, RCD Espanyol
Fernando Pacheco, Portero, 33, España, RCD Espanyol
Ángel Fortuño, Portero, 23, España, RCD Espanyol
Marash Kumbulla, Defensa central, 25, Albania, RCD Espanyol
Fernando Calero, Defensa central, 29, España, RCD Espanyol
Leandro Cabrera, Defensa central, 33, Uruguay, RCD Espanyol
Sergi Gómez, Defensa central, 33, España, RCD Espanyol
Pablo Ramón, Defensa central, 23, España, RCD Espanyol
Carlos Romero, Lateral izquierdo, 23, España, RCD Espanyol
Brian Oliván, Lateral izquierdo, 31, España, RCD Espanyol
Omar El Hilali, Lateral derecho, 21, Marruecos, RCD Espanyol
Álvaro Tejero, Lateral derecho, 28, España, RCD Espanyol
Urko González de Zárate, Pivote, 24, España, RCD Espanyol
Alex Král, Mediocentro, 27, República Checa, RCD Espanyol
Pol Lozano, Mediocentro, 25, España, RCD Espanyol
José Gragera, Mediocentro, 25, España, RCD Espanyol
Álvaro Aguado, Mediocentro, 29, España, RCD Espanyol
Edu Expósito, Mediocentro, 28, España, RCD Espanyol
Justin Smith, Mediocentro, 22, Canadá, RCD Espanyol
Rafel Bauzà, Mediocentro, 20, España, RCD Espanyol
Javi Puado, Extremo izquierdo, 27, España, RCD Espanyol
Pere Milla, Extremo izquierdo, 32, España, RCD Espanyol
Jofre Carreras, Extremo derecho, 23, España, RCD Espanyol
Antoniu Roca, Extremo derecho, 22, España, RCD Espanyol
Roberto Fernández, Delantero centro, 22, España, RCD Espanyol
Walid Cheddira, Delantero centro, 27, Marruecos, RCD Espanyol
Alejo Veliz, Delantero centro, 21, Argentina, RCD Espanyol
Omar Sadik, Delantero centro, 21, Marruecos, RCD Espanyol
Iván Villar, Portero, 27, España, RC Celta de Vigo
Vicente Guaita, Portero, 38, España, RC Celta de Vigo
Javi Rodríguez, Defensa central, 21, España, RC Celta de Vigo
Carl Starfelt, Defensa central, 29, Suecia, RC Celta de Vigo
Carlos Domínguez, Defensa central, 24, España, RC Celta de Vigo
Yoel Lago, Defensa central, 21, España, RC Celta de Vigo
Marcos Alonso, Lateral izquierdo, 34, España, RC Celta de Vigo
Mihailo Ristic, Lateral izquierdo, 29, Serbia, RC Celta de Vigo
Óscar Mingueza, Lateral derecho, 26, España, RC Celta de Vigo
Sergio Carreira, Lateral derecho, 24, España, RC Celta de Vigo
Javier Manquillo, Lateral derecho, 31, España, RC Celta de Vigo
Damián Rodríguez, Pivote, 22, España, RC Celta de Vigo
Jailson, Pivote, 29, Brasil, RC Celta de Vigo
Fran Beltrán, Mediocentro, 26, España, RC Celta de Vigo
Hugo Sotelo, Mediocentro, 21, España, RC Celta de Vigo
Ilaix Moriba, Mediocentro, 22, Guinea, RC Celta de Vigo
Hugo Álvarez, Extremo izquierdo, 21, España, RC Celta de Vigo
Williot Swedberg, Extremo izquierdo, 21, Suecia, RC Celta de Vigo
Alfon González, Extremo izquierdo, 26, España, RC Celta de Vigo
Franco Cervi, Extremo izquierdo, 31, Argentina, RC Celta de Vigo
Fer López, Extremo derecho, 21, España, RC Celta de Vigo
Iker Losada, Mediapunta, 23, España, RC Celta de Vigo
Pablo Durán, Delantero centro, 24, España, RC Celta de Vigo
Borja Iglesias, Delantero centro, 32, España, RC Celta de Vigo
Iago Aspas, Delantero centro, 37, España, RC Celta de Vigo
Thibaut Courtois, Portero, 33, Bélgica, Real Madrid CF
Andriy Lunin, Portero, 26, Ucrania, Real Madrid CF
Fran González, Portero, 19, España, Real Madrid CF
Éder Militão, Defensa central, 27, Brasil, Real Madrid CF
Raúl Asencio, Defensa central, 22, España, Real Madrid CF
Antonio Rüdiger, Defensa central, 32, Alemania, Real Madrid CF
David Alaba, Defensa central, 32, Austria, Real Madrid CF
Jesús Vallejo, Defensa central, 28, España, Real Madrid CF
Ferland Mendy, Lateral izquierdo, 29, Francia, Real Madrid CF
Fran García, Lateral izquierdo, 25, España, Real Madrid CF
Daniel Carvajal, Lateral derecho, 33, España, Real Madrid CF
Lucas Vázquez, Lateral derecho, 33, España, Real Madrid CF
Aurélien Tchouaméni, Pivote, 25, Francia, Real Madrid CF
Federico Valverde, Mediocentro, 26, Uruguay, Real Madrid CF
Eduardo Camavinga, Mediocentro, 22, Francia, Real Madrid CF
Dani Ceballos, Mediocentro, 28, España, Real Madrid CF
Luka Modrić, Mediocentro, 39, Croacia, Real Madrid CF
Jude Bellingham, Mediocentro ofensivo, 21, Inglaterra, Real Madrid CF
Vinicius Junior, Extremo izquierdo, 24, Brasil, Real Madrid CF
Rodrygo, Extremo derecho, 24, Brasil, Real Madrid CF
Arda Güler, Extremo derecho, 20, Turquía, Real Madrid CF
Brahim Díaz, Extremo derecho, 25, Marruecos, Real Madrid CF
Kylian Mbappé, Delantero centro, 26, Francia, Real Madrid CF
